Transaction,Item,date_time
409,_tt_180,2024-05
410,_tt_180,2024-05
411,_rak_sepatu+kursi,2024-05
412,_tt_160,2024-05
413,_tt_160,2024-05
414,_tt_100,2024-05
414,_tt_160,2024-05
415,_tt_160,2024-05
416,_tt_L160L,2024-05
417,_tt_140,2024-05
418,_tt_180,2024-05
419,_tt_160,2024-05
420,_tt_160,2024-05
421,_tt_180,2024-05
422,_tt_120,2024-05
423,_set_tamu_2111,2024-05
424,_set_tamu_2111,2024-05
425,_tt_160,2024-05
426,_tt_180,2024-05
427,_set_sudut,2024-05
428,_tt_A+B100,2024-05
429,_tt_180,2024-05
429,_tt_180,2024-05
429,_tt_180,2024-05
430,_tt_180,2024-05
431,_tt_160,2024-05
432,_rak_sepatu+kursi,2024-05
433,_tt_140,2024-05
434,_set_tamu_3211,2024-05
435,_set_tamu_2111,2024-05
436,_meja_tv_200,2024-05
437,_tt_140,2024-05
438,_tt_90T,2024-05
439,_tt_160,2024-05
440,_tt_120,2024-05
441,_tt_160,2024-05
442,_tt_180,2024-05
443,_tt_200,2024-05
444,_set_tamu_sedan_211,2024-05
445,_tt_120,2024-05
446,_tt_A+B120,2024-05
447,_tt_160,2024-05
448,_tt_180,2024-05
449,__tt_160,2024-05
450,_tt_160,2024-05
451,_mm_kamar,2024-05
451,_tt_90,2024-05
451,_tt_L160L,2024-05
452,_tt_180,2024-05
453,_tt_140,2024-05
454,_tt_200,2024-05
454,_tt_L200L,2024-05
455,_tt_120,2024-05
456,_set_sudut,2024-05
457,_tt_160,2024-05
458,_tt_180,2024-05
459,_set_tamu_sedan_211,2024-05
460,_lemari_sudut,2024-05
461,_tt_160,2024-05
462,_tt_200,2024-05
463,_tt_120,2024-05
464,_tt_160,2024-05
465,_tt_180,2024-05
466,_set_tamu_2111+1,2024-05
467,_tt_180,2024-05
467,_mm_kamar,2024-05
467,_mm_tv_150,2024-05
468,_tt_180,2024-05
469,_tt_200,2024-05
469,_Lm_P2G+L,2024-05
470,_tt_160,2024-05
471,_tt_140,2024-05
472,_tt_160,2024-05
473,_tt_180,2024-05
474,_tt_180,2024-05
475,_tt_180,2024-05
476,_rak_sepatu+kursi,2024-05
477,_tt_120,2024-05
477,_tt_120,2024-05
477,_tt_120,2024-05
477,_tt_120,2024-05
478,_tt_160,2024-05
478,_tt_160,2024-05
478,_tt_160,2024-05
478,_tt_160,2024-05
478,_tt_180,2024-05
478,_tt_180,2024-05
479,_tt_90,2024-05
480,_tt_180,2024-05
481,_lemari_sudut,2024-05
482,_meja_tv_200,2024-05
483,_tt_L160R,2024-05
484,_tt_L160L,2024-05
485,_tt_160,2024-05
486,_set_tamu_3211+1,2024-05
487,_tt_180,2024-05
488,_tt_120,2024-05
489,_tt_180,2024-05
490,_tt_180,2024-05
491,_tt_160,2024-05
492,_set_tamu_3111,2024-05
493,_meja_tv_100,2024-05
494,_tt_180,2024-05
494,_tt_160,2024-05
494,_tt_160,2024-05
494,_set_makan,2024-05
494,_mm_tv_150,2024-05
495,_tt_160,2024-05
496,_tt_180,2024-05
497,_meja_tv_200,2024-05
498,_tt_160_km_10,2024-05
499,_tt_160,2024-05
500,_tt_160,2024-05
501,_meja_tv_200,2024-05
502,_meja_rias,2024-05
502,_meja_rias,2024-05
502,_meja_rias,2024-05
502,_meja_rias,2024-05
502,_meja_rias,2024-05
502,_meja_rias,2024-05
503,_set_tamu_sedan_211,2024-05
504,_tt_160,2024-05
505,_tt_180,2024-05
506,_tt_120,2024-05
506,_tt_160,2024-05
507,_rak_sepatu+kursi,2024-05
508,_set_tamu_2111,2024-05
509,_tt_100,2024-05
510,_kursi_bale_jati,2024-05
511,_tt_160,2024-05
